,Density,Efficiency,# of connected components,# of cluster,Fraction of nodes in the largest connected component,Connected components entropy,Fraction of nodes in the center,Fraction of nodes in the periphery,Fraction of nodes in the barycenter,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Assortativity coefficient analysis,Shortest path length analysis,Average eccentricity,Average degree,Average communicability,Average node similarity,Average node betweenness centrality,Average edge betweenness centrality
pre1_12DIV_CS1_FOV3,0.4767584160189482,0.07296303609076553,0.0911764705882353,0.5443478260869565,0.9094615838082137,0.14606330863441136,0.017250038435914522,0.01085717387763965,0.003462522132598859,0.8181246066708622,0.8957458726244845,0.8255149499923373,0.2041388288655499,0.7976025493022902,0.012830626724740044,0.016840997302809024,0.5,5.660638153668955e-13,0.0,0.5266171293075687,0.4162013692139537
pre3_12DIV_CS4_FOV3,0.30464739499603516,0.055798784165047036,0.2088235294117647,0.3739130434782609,0.5888148815088095,0.4892860946623717,0.006063373481349513,0.009420123222823974,0.023947048286828164,0.5960800161648817,0.3964019659361379,0.35075272959040665,0.5552058130262054,0.8454042614979537,0.07226988981727842,0.0972092603185116,0.2973856209150327,6.716332917685446e-15,0.0,0.33498550732905463,0.46772229166081747
pre3_12DIV_CS4_FOV2,0.3739996447835663,0.04697575104066419,0.1411764705882353,0.6226086956521739,0.8795696123535087,0.1827070594069224,0.06028589635894911,0.008928845386763216,0.0025598613736609955,0.8165621906961399,0.7667952010539317,0.743707869471244,0.2606417989211023,0.904187885863046,0.015367558096049623,0.021048199360181194,0.4272300469483568,1.0682714031996195e-15,0.0,0.511223942786523,0.42551410654486194
pre1_12DIV_CS1_FOV2,0.7250574207254973,0.09617543442821429,0.026470588235294114,0.3547826086956522,0.9579536303832866,0.08443021583548725,0.004304588417462939,0.037212839525268826,0.0072016100464406515,0.7164734193830672,0.8159964275968143,0.7615495914873996,0.18737167508614316,0.807940860310078,0.028509310612180795,0.037039451170824716,0.7811158798283262,6.2201644671992e-11,0.0,0.8073439421059544,0.677360237177849
pre3_12DIV_CS5_FOV2,0.40020937719814875,0.047005110364164424,0.09705882352941175,0.6573913043478261,0.9290160638002493,0.1128975737252383,0.030708959082409865,0.018237289474771087,0.002125864174633234,0.8225985429632846,0.8701610474607803,0.7883026114339112,0.2381861575162869,0.892255598978175,0.012182841486404222,0.014209591474245116,0.42227378190255216,4.692558808717307e-16,0.0,0.5631908188869631,0.43512030928907575
pre2_12DIV_CS1_FOV2,0.5926213035396392,0.07622887457679449,0.02058823529411765,0.4347826086956522,0.9752294102376877,0.05119067763827351,0.02190992168742851,0.004473975046936792,0.005211600636973411,0.6989097008666479,0.6728118816764704,0.6235805549156739,0.14908460798838696,0.9761398001629299,0.02300768268534304,0.0307605360891329,0.6570397111913358,2.2896827026231112e-12,0.0,0.7863388159471998,0.6653578247679497
pre2_12DIV_CS1_FOV3,0.2704157597800158,0.1394460977647739,0.23823529411764705,0.45913043478260873,0.26041076245912237,0.581340755519234,0.0315067732622696,0.05022347682898141,0.021890096618357488,0.6956397016637981,0.49030010293768256,0.5801883758851317,0.6127908346127788,0.7530292175711161,0.09275686215634221,0.10950733850612321,0.2493150684931507,7.597269841183243e-09,0.0,0.07729079021675044,0.10561864107144517
pre2_12DIV_CS1_FOV1,0.5408204903230754,0.07221635392914257,0.041176470588235294,0.49217391304347824,0.9581071004183788,0.0760117261532089,0.024726245143058993,0.003353336522476353,0.004162447003896392,0.7354579897481615,0.7841313151573712,0.7249863600163258,0.2770420431850198,0.8443250399651838,0.017845103025795332,0.025925327879146712,0.5741324921135647,1.2301967605684629e-12,0.0,0.6808634278679664,0.5477416103739744
pre3_12DIV_CS5_FOV4,0.42171270205482453,0.05032836128179009,0.07941176470588235,0.6208695652173913,0.938248409405897,0.1007879452053065,0.005659309564233165,0.001563199550769838,0.0024865018471156583,0.8216476774758984,0.9196734702371966,0.7902704552409517,0.3058079183353648,0.8053179595428026,0.013220457230669398,0.014712289285833978,0.4504950495049505,2.7849398544508908e-15,0.0,0.5910391236506711,0.46538914003317666
pre1_12DIV_CS1_FOV4,0.43219949602694463,0.05671996196137262,0.09411764705882353,0.702608695652174,0.9294774734254347,0.11203888113564316,0.012747911648644495,0.0008007165734759247,0.0017726572234244868,0.8820781833860305,1.0,0.9027151912241883,0.14826700188964326,0.8447672569780107,0.0066692020123145165,0.010961073423355942,0.3991228070175438,6.613937358906516e-15,0.0,0.49448914670722904,0.3381856228768087
pre1_12DIV_CS4_FOV3,0.44631795470111146,0.0616424260313156,0.11470588235294119,0.591304347826087,0.898485128211673,0.15836030341211488,0.0014195082066501123,0.005782061974722524,0.002869972099511741,0.838625236317805,0.8692566940209162,0.8479977479026296,0.14071092706208033,0.8452218556448918,0.013354597772242793,0.018080794279728564,0.45614035087719296,1.914877281349412e-14,0.0,0.5184580201212631,0.39391967717278475
pre3_12DIV_CS1_FOV2,0.5372173553358204,0.06663829536798759,0.05882352941176471,0.471304347826087,0.9237805953931089,0.1306933455026239,0.04410771069877765,0.003863921880708919,0.0046404624137659995,0.8054711246200608,0.7627827444566284,0.9240607185561793,0.292373424238793,0.9567444752284413,0.02344436634415939,0.029929900191526082,0.5852090032154341,4.763085638402657e-14,0.0,0.6792697678765176,0.5577715682615287
pre1_12DIV_CS4_FOV2,0.43248957012648137,0.06411973190704458,0.11764705882352941,0.5791304347826087,0.8992540222723199,0.1574256569613252,0.006307034503414629,0.005946727571135999,0.0029727465475602585,0.8274103412728555,0.8825759247150935,0.8684935613933012,0.22595497312741442,0.8402135577352406,0.012275997001936621,0.018983767800490756,0.4631043256997456,1.3210255607935017e-13,0.0,0.5061968261090197,0.403690990667078
pre2_12DIV_CS5_FOV4,0.3845236050316137,0.051925315459478885,0.09705882352941175,0.6226086956521739,0.9170729946233331,0.13184174702533946,0.005707906440751212,0.026969806786320542,0.002522983341397664,0.7655239721849457,0.8424193839155221,0.7194454880351034,0.39922775263261245,0.8524527893009799,0.012092724622199243,0.016447890944273562,0.44282238442822386,1.3700250460579152e-14,0.0,0.5377516455581108,0.45484835593524703
pre2_12DIV_CS4_FOV4,0.5662458288617956,0.05870586049462363,0.04705882352941176,0.3686956521739131,0.9243016684619806,0.1351632494973904,0.011533052039381153,0.012232415902140671,0.006895898456000758,0.6574441857279825,0.5617276626040374,0.5749680563141627,0.3373425924935529,0.897488854414543,0.04953976633249061,0.07215808170515098,0.5504032258064516,1.943039385487933e-14,0.0,1.0,0.9657506364049464
pre3_12DIV_CS1_FOV1,0.6415529452213832,0.09127137446037566,0.01764705882352941,0.45913043478260873,0.9807840541083317,0.04046413354460149,0.00865611694951275,0.008772129517912293,0.0047361939945060145,0.783589886466532,0.8478735934187387,0.7399819454870121,0.14595113651762537,0.9628279213814607,0.015447499297780054,0.023218370241639724,0.6275862068965518,3.547228226483679e-11,0.0,0.6876602998147554,0.52068516803729
